EC:2.7.1.41	GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
EC:2.3.1.85	RXN-9655,RXN-9654,RXN-9653,RXN-9652,RXN-9651,RXN-9650,RXN-9518,RXN-9514,RXN-9515,RXN-9538,RXN-9536,RXN-9537,RXN-9534,RXN-9533,RXN-9530,RXN-13008,4.2.1.61-RXN,4.2.1.59-RXN,RXN-9535,RXN-9532,MALONYL-COA-ACP-TRANSACYL-RXN,ACP-S-ACETYLTRANSFER-RXN,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN,RXN-9648,3-OXOACYL-ACP-REDUCT-RXN,RXN-9521,RXN-9520,RXN-9524,RXN-9526,RXN-9528,RXN-9542,RXN-9540,FATTY-ACID-SYNTHASE-RXN,3-OXOACYL-ACP-SYNTH-BASE-RXN,ENOYL-ACP-REDUCT-NADPH-RXN,3-OXOACYL-ACP-SYNTH-RXN,4.2.1.58-RXN
EC:2.3.1.86	RXN-9655,RXN-9654,RXN-9653,RXN-9652,RXN-9651,RXN-9650,RXN-9518,RXN-9514,RXN-9515,RXN-9538,RXN-9536,RXN-9537,RXN-9534,RXN-9533,RXN-9530,RXN-13008,4.2.1.61-RXN,4.2.1.59-RXN,RXN-9535,RXN-9532,MALONYL-COA-ACP-TRANSACYL-RXN,ACP-S-ACETYLTRANSFER-RXN,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN,RXN3O-1803,RXN-9648,3-OXOACYL-ACP-REDUCT-RXN,RXN-9521,RXN-9520,RXN-9524,RXN-9526,RXN-9528,RXN-9542,RXN-9540,RXN3O-5304,3-OXOACYL-ACP-SYNTH-BASE-RXN,ENOYL-ACP-REDUCT-NADPH-RXN,3-OXOACYL-ACP-SYNTH-RXN,RXN3O-5293,4.2.1.58-RXN,FATTY-ACYL-COA-SYNTHASE-RXN,RXN-9633,RXN-9634
EC:4.2.1.59	RXN-9655,RXN-10061,RXN1G-760,RXN-10656,RXN1G-220,RXN-9537,RXN-9533,RXN-9557,4.2.1.61-RXN,RXN1G-884,RXN1G-648,RXN1G-645,RXN-16623,RXN1G-355,RXN1G-377,RXN1G-27,4.2.1.59-RXN,RXN1G-214,RXN1G-294,RXN-11481,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN,RXN1G-279,RXN1G-1004,RXN1G-912,RXN-10660,RXN-16627,RXN-9520,RXN1G-266,RXN1G-1081,RXN1G-1084,RXN1G-420,RXN1G-425,RXN1G-1278,RXN0-2144,RXN1G-440,RXN1G-127,RXN1G-464,RXN-16631,RXN-16619,RXN1G-363,RXN1G-554,RXN1G-309,RXN1G-308,RXN1G-320,RXN1G-188,RXN1G-517,RXN-11477,4.2.1.58-RXN,RXN-9634
EC:2.3.1.41	RXN-9654,RXN-9653,RXN-9652,RXN-9651,RXN-9650,RXN-9516,RXN-10654,RXN-10658,RXN-9539,RXN-9531,RXN1G-445,RXN1G-840,RXN1G-138,RXN1G-132,RXN-16629,RXN-16621,RXN-16625,RXN1G-26,RXN-9535,RXN3O-1803,RXN-9648,RXN1G-1003,RXN1G-236,RXN1G-218,RXN-10059,RXN-9523,RXN-9527,RXN1G-368,RXN0-2141,RXN1G-460,2.3.1.41-RXN,3-OXOACYL-ACP-SYNTH-BASE-RXN,RXN-16615,RXN-11474,RXN-11479,RXN1G-306,3-OXOACYL-ACP-SYNTH-RXN,RXN1G-324,RXN1G-499,RXN-9632
EC:2.1.1.201	RXN3O-54,RXN-9235,2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,RXN-9242,RXN-9227,RXN-11754
EC:3.4.21.86	3.4.21.86-RXN
EC:2.4.1.315	RXN-15117,RXN-15118
EC:5.3.1.27	R12-RXN
EC:2.4.1.238	RXN-8231
EC:1.3.1.97	RXN-13291
EC:6.2.1.3	RXN-13290,RXN-16389,RXN-9673,ACYLCOASYN-RXN,RXN-12184,RXN-16380,R223-RXN,LINOLENOYL-RXN,RXN66-469,RXN-16401,RXN-16402,RXN66-483,RXN66-480,RXN66-484,RXN-9623,RXN-9644,RXN-16393,RXN-13614,RXN-7904,RXN-12978,RXN66-477,RXN-16418,RXN-16415
EC:2.3.1.199	RXN-13297,RXN-13296,RXN-13295,RXN-13294,RXN-16094,RXN-13322,RXN-14492,RXN-7697,RXN-16153,RXN-9543,RXN-13441
EC:1.1.1.330	RXN-13299,RXN-13298,RXN-16095,RXN-12968,RXN-13301,RXN-16112,RXN-14493,RXN-16020,RXN-7698,RXN-16154,RXN-12994,RXN-16129,RXN-14484,RXN-13300,RXN-13443
EC:2.7.11.5	PHOSICITDEHASE-RXN
EC:1.21.3.6	RXN-3102,RXN-8008,RXN-6242,RXN-8456,RXN-8454
EC:3.2.1.84	3.2.1.84-RXN
EC:4.2.1.114	R213-RXN,R217-RXN,R216-RXN,R212-RXN,RXN-13722
EC:1.14.14.1	RXN66-169,RXN66-161,RXN66-163,RXN66-146,UNSPECIFIC-MONOOXYGENASE-RXN,RXN-8872,RXN-11057,RXN-11056,RXN-13064,RXN66-181,RXN-8630
EC:2.4.1.17	RXN66-168,RXN-13608,RXN66-162,RXN-10618,RXN-10619,RXN-10616,RXN-10617,UDP-GLUCURONOSYLTRANSFERASE-RXN,RXN-11060,RXN-13607,RXN-9000,RXN66-83,RXN-14361,RXN-10607,RXN-10609,RXN-10608,RXN-10606,RXN-10784
EC:1.16.1.8	2.1.1.135-RXN
EC:2.4.1.36	2.4.1.36-RXN
EC:4.1.3.4	HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN
EC:3.1.2.18	RXN-7938,3.1.2.18-RXN
EC:1.17.1.4	RXN-7682,RXN0-901
EC:2.7.1.182	RXN-7683
EC:1.14.11.22	RXN-7686,RXN-7687,RXN-8000,RXN-8379
EC:1.14.12.11	TOLUENE-DIOXYGENASE-RXN
EC:2.3.2.6	LEUCYLTRANSFERASE-RXN
EC:3.5.1.16	RXN-7933,ACETYLORNDEACET-RXN
EC:4.1.2.48	THREONINE-ALDOLASE-RXN,LTAA-RXN
EC:4.1.2.5	THREONINE-ALDOLASE-RXN
EC:3.4.21.1	3.4.21.1-RXN
EC:1.16.3.1	RXN0-1483
EC:3.1.3.43	3.1.3.43-RXN
EC:3.1.1.43	ALPHA-AMINO-ACID-ESTERASE-RXN
EC:3.1.4.53	RXN0-5038
EC:1.10.3.11	RXN-6883
EC:1.1.1.29	GLYCERATE-DEHYDROGENASE-RXN
EC:5.4.1.3	RXN-13230
EC:2.4.99.7	2.4.99.7-RXN
EC:1.1.99.11	FRUCTOSE-5-DEHYDROGENASE-RXN
EC:2.3.1.5	RXN-13871,RXN-13870,ARYLAMINE-N-ACETYLTRANSFERASE-RXN
EC:3.2.1.161	3.2.1.161-RXN,RXN-9163,RXN-13672,RXN-9156
EC:2.4.1.4	AMYLOSUCRASE-RXN
EC:1.1.1.289	1.1.1.289-RXN
EC:3.1.13.2	3.1.13.2-RXN
EC:1.3.1.90	RXN-12475,RXN-12476
EC:2.1.1.225	RXN-12477,RXN-12479,RXN-12478
EC:3.11.1.3	3.11.1.3-RXN
EC:2.1.1.218	RXN-12471
EC:2.1.1.217	RXN-12472
EC:2.8.1.11	RXN-12473
EC:2.7.1.11	6PFRUCTPHOS-RXN
EC:4.1.2.27	RXN-13729,SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN
EC:2.1.3.10	RXN-9775
EC:3.2.1.117	AMYGDALIN-BETA-GLUCOSIDASE-RXN
EC:1.1.1.263	1.1.1.263-RXN
EC:3.1.8.2	DIISOPROPYL-FLUOROPHOSPHATASE-RXN
EC:1.1.1.7	PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN
EC:2.7.11.4	2.7.11.4-RXN
EC:1.1.1.265	1.1.1.265-RXN
EC:2.5.1.18	GSHTRAN-RXN,RXN-13673,GST-RXN,RXN-15680
EC:1.14.16.4	TRYPTOPHAN-5-MONOOXYGENASE-RXN
EC:3.4.13.18	RXN0-6988,RXN0-6982,RXN0-6978,RXN0-6979,RXN0-6976,RXN0-6977,RXN0-6974,RXN0-6975,RXN0-6985,RXN0-6983,RXN0-6981,RXN0-6980,3.4.13.18-RXN,RXN-6622,RXN0-6987,RXN0-6984
EC:4.2.1.10	3-DEHYDROQUINATE-DEHYDRATASE-RXN
EC:1.3.1.22	PROGESTERONE-5-ALPHA-REDUCTASE-RXN,CORTISONE-ALPHA-REDUCTASE-RXN,RXN66-343,1.3.99.5-RXN,CHOLESTENONE-5-ALPHA-REDUCTASE-RXN
EC:1.3.7.9	OHBENZCOARED-RXN
EC:2.7.7.39	2.7.7.39-RXN
EC:5.1.3.7	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
EC:1.4.3.5	PMPOXI-RXN,PNPOXI-RXN
EC:1.14.11.1	1.14.11.1-RXN
EC:2.4.1.37	2.4.1.37-RXN
EC:2.4.1.298	RXN-8228,RXN-13966,RXN-8169,RXN-8234
EC:2.3.1.222	PTAALT-RXN
EC:1.97.1.4	TDCEACT-RXN
EC:3.1.1.80	RXN-8220,RXN-8222
EC:3.6.3.14	ATPSYN-RXN
EC:3.5.99.10	RXN-15127
EC:1.14.13.200	RXN-15434,RXN-15407
EC:1.14.13.144	RXN-15437,RXN-12883
EC:2.1.1.299	RXN-15120
EC:3.4.24.83	3.4.24.83-RXN
EC:2.6.1.1	RXN-11737,ASPAMINOTRANS-RXN,RXN-13697,RXN-10814
EC:1.3.8.7	RXN-11734,RXN-14262,RXN-13615,RXN-14229,RXN-14278
EC:4.1.2.47	RXN-11732,RXN-11731
EC:4.1.2.46	RXN-11733,ACETONE-CYANHYDRIN-LYASE-RXN
EC:2.3.1.74	NARINGENIN-CHALCONE-SYNTHASE-RXN
EC:2.4.1.116	2.4.1.116-RXN,RXN-7832
EC:3.2.1.98	3.2.1.98-RXN
EC:1.14.99.45	RXN-5962,RXN-12226
EC:1.14.99.20	1.14.99.20-RXN
EC:3.6.3.2	TRANS-RXN-250,3.6.3.2-RXN
EC:4.2.1.78	S-NORLAUDANOSOLINE-SYNTHASE-RXN
EC:1.5.1.30	NADPH-DEHYDROGENASE-FLAVIN-RXN
EC:1.1.1.116	D-ARABINOSE-1-DEHYDROGENASE-RXN
EC:3.1.11.6	3.1.11.6-RXN
EC:2.1.1.290	RXN-14528,RXN-14539
EC:2.3.1.231	RXN-14520,RXN-14540
EC:2.7.4.26	RXN-10068
EC:5.4.3.6	TYROSINE-23-AMINOMUTASE-RXN
EC:1.1.1.100	RXN-10060,RXN-9518,RXN-9514,RXN-10655,RXN-10659,RXN-9536,RXN1G-240,RXN1G-203,RXN-13008,RXN-9556,RXN-9552,RXN1G-1247,RXN1G-881,RXN-16622,RXN-16626,RXN1G-358,RXN1G-157,RXN1G-508,RXN-9532,RXN0-2142,RXN1G-717,RXN-11480,RXN1G-481,RXN1G-252,3-OXOACYL-ACP-REDUCT-RXN,RXN-9524,RXN-9528,RXN1G-637,RXN1G-951,RXN-9540,RXN1G-408,RXN1G-409,RXN1G-617,RXN1G-613,RXN1G-384,RXN1G-469,RXN-16630,RXN1G-72,RXN1G-349,RXN1G-163,RXN-16616,RXN1G-853,RXN-11476,RXN1G-184,RXN1G-182,RXN1G-364,RXN1G-287,RXN1G-1053,RXN1G-1050,RXN-9633,RXN1G-262,RXN1G-260
EC:3.5.4.39	RXN-10063
EC:4.1.1.99	RXN-10067
EC:6.3.4.23	RXN-10066
EC:2.3.1.179	RXN1G-94,RXN1G-1015,RXN1G-202,RXN1G-883,RXN1G-660,RXN1G-374,RXN1G-334,RXN-8391,RXN1G-582,RXN1G-580,RXN1G-89,2.3.1.179-RXN,RXN1G-1212,RXN1G-424,RXN1G-818,RXN1G-79,RXN1G-172,RXN1G-557,RXN1G-32
EC:4.1.2.10	MANDELONITRILE-LYASE-RXN
EC:2.7.1.89	THIKIN-RXN
EC:1.4.3.21	AMACETOXID-RXN,RXN-9597,AMINEOXID-RXN,AMINEPHEN-RXN,RXN-11784
EC:5.3.1.25	FUCISOM-RXN
EC:3.4.24.19	3.4.24.19-RXN
EC:1.14.14.12	RXN-12717
EC:6.2.1.5	SUCCCOASYN-RXN
EC:3.1.1.20	TANNASE-RXN
EC:2.5.1.9	RIBOFLAVIN-SYN-RXN
EC:3.4.14.12	3.4.14.12-RXN
EC:4.2.99.18	4.2.99.18-RXN,RXN0-2601
EC:2.7.7.44	2.7.7.44-RXN
EC:1.8.4.7	1.8.4.7-RXN
EC:1.7.1.13	RXN0-4022
EC:3.2.1.123	ENDOGLYCOSYLCERAMIDASE-RXN
EC:3.4.22.10	3.4.22.10-RXN
EC:2.7.8.2	RXN66-578,RXN-5781
EC:5.5.1.4	RXN66-579,MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
EC:1.14.11.14	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN
EC:1.2.1.42	1.2.1.42-RXN,RXN-14169
EC:2.8.3.17	2.8.3.17-RXN
EC:3.1.3.4	RXN-16030,PHOSPHATIDATE-PHOSPHATASE-RXN,RXN-16121
EC:1.1.1.270	RXN66-314,RXN66-319,RXN66-24,1.1.1.270-RXN,RXN66-19,RXN-13686
EC:1.1.1.159	RXN-16033,7-ALPHA-HYDROXYSTEROID-DEH-RXN
EC:1.1.1.201	RXN-16034,1.1.1.201-RXN
EC:1.1.1.170	RXN66-313,RXN66-318,RXN66-23,RXN-13926,RXN66-18,1.1.1.170-RXN
EC:4.1.3.16	4OH2OXOGLUTARALDOL-RXN
EC:4.2.3.134	RXN-13609
EC:3.2.1.21	RXN-13600,RXN-13602,RXN-13603,RXN-9674,3.2.1.21-RXN,RXN-10773,RXN-10769,RXN-14179,RXN-5341,RXN-8036
EC:3.1.1.93	RXN-13605
EC:2.6.1.42	BRANCHED-CHAINAMINOTRANSFERILEU-RXN,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,BRANCHED-CHAINAMINOTRANSFERLEU-RXN
EC:1.5.1.42	RXN-9510
EC:1.3.1.3	RXN-9840,CORTISONE-BETA-REDUCTASE-RXN,CHOLESTENONE-5-BETA-REDUCTASE-RXN,RXN-9794
EC:1.1.1.213	RXN-9841,RXN-12264,1.1.1.209-RXN,RXN66-567,RXN-9796
EC:1.3.1.10	RXN-9515,RXN-9538,RXN-9534,RXN-9530,RXN-9521,RXN-9526,RXN-9542,ENOYL-ACP-REDUCT-NADPH-RXN,RXN3O-5293
EC:1.3.1.39	RXN-9515,RXN-9538,RXN-9534,RXN-9530,RXN-9521,RXN-9526,RXN-9542,ENOYL-ACP-REDUCT-NADPH-RXN
EC:5.1.99.4	RXN-9845,5.1.99.4-RXN,RXN-9797
EC:1.1.1.247	1.1.1.247-RXN
EC:2.7.7.33	2.7.7.33-RXN
EC:4.4.1.9	L-3-CYANOALANINE-SYNTHASE-RXN
EC:3.4.23.25	3.4.23.25-RXN
EC:2.4.1.329	RXN-15605
EC:1.1.1.332	RXN-13468
EC:1.14.14.5	RXN0-6973,RXN-15341,RXN-13418,RXN0-280
EC:2.3.1.242	PALMITOTRANS-RXN
EC:5.3.1.6	RIB5PISOM-RXN
EC:4.1.2.40	TAGAALDOL-RXN
EC:2.6.1.22	2.6.1.22-RXN
EC:2.7.1.151	2.7.1.151-RXN,RXN-7162,RXN-10948,RXN-7184,RXN-13197
EC:3.4.21.62	3.4.21.62-RXN
EC:4.1.2.20	KDGALDOL-RXN,4.1.2.20-RXN
EC:4.1.2.19	RHAMNULPALDOL-RXN
EC:4.3.2.2	AMPSYN-RXN,AICARSYN-RXN
EC:3.2.1.18	3.2.1.18-RXN
EC:2.5.1.98	RXN-12809
EC:2.4.1.278	RXN-12808
EC:2.1.1.240	RXN-12805
EC:2.4.2.1	DEOXYADENPHOSPHOR-RXN,RXN-7001,RXN-14029,XANTHOSINEPHOSPHORY-RXN,RXN-11715,RXN-11743,INOPHOSPHOR-RXN,PNP-RXN,DEOXYGUANPHOSPHOR-RXN,ADENPHOSPHOR-RXN,DEOXYINOPHOSPHOR-RXN,RXN0-5199
EC:2.3.1.197	RXN-12806
EC:2.1.1.238	RXN-12801
EC:2.1.1.237	RXN-12800
EC:2.1.1.41	RXN-4021,RXN3O-178
EC:2.1.1.239	RXN-12802
EC:6.3.4.16	6.3.4.16-RXN
EC:3.6.3.21	ABC-14-RXN,ABC-12-RXN,RXN0-3,ABC-4-RXN,TRANS-RXN-265,ABC-3-RXN,TRANS-RXN0-222,ABC-13-RXN,TRANS-RXN0-593,3.6.3.21-RXN,ABC-37-RXN
EC:5.4.4.7	RXN-14951,RXN-14953,RXN-14952,RXN-14947,RXN-14948
EC:2.8.1.8	RXN-14950,RXN-14957,RXN-14959,RXN0-949
EC:2.4.1.47	2.4.1.47-RXN
EC:2.1.1.146	2.1.1.146-RXN,RXN-6741,RXN-6742
EC:2.1.1.279	2.1.1.146-RXN,RXN-9312
EC:1.3.1.25	1.3.1.25-RXN
EC:1.13.11.29	RXN-8460
EC:2.3.3.13	2-ISOPROPYLMALATESYN-RXN
EC:1.2.1.87	RXN-12736,RXN-15729,RXN-15728
EC:4.1.3.43	RXN-12735
EC:4.2.1.132	RXN-12734
EC:2.1.1.14	RXN-12730,HOMOCYSMET-RXN
EC:3.6.3.36	ABC-64-RXN,3.6.3.36-RXN
EC:2.7.7.68	RXN-8077
EC:3.5.1.92	3.5.1.92-RXN
EC:3.1.1.45	CARBOXYMETHYLENEBUTENOLIDASE-RXN,RXN-9868
EC:2.7.8.28	RXN-8078
EC:2.5.1.77	RXN-8079
EC:1.17.4.1	RIBONUCLEOSIDE-DIP-REDUCTII-RXN,RXN0-748,RXN0-747,GDPREDUCT-RXN,ADPREDUCT-RXN,RXN0-722,CDPREDUCT-RXN,UDPREDUCT-RXN,RIBONUCLEOSIDE-DIP-REDUCTI-RXN
EC:1.14.13.99	1.14.13.99-RXN
EC:3.4.19.1	ACYLAMINOACYL-PEPTIDASE-RXN
EC:1.5.1.16	D-LYSOPINE-DEHYDROGENASE-RXN
EC:3.4.21.59	3.4.21.59-RXN
EC:2.1.1.261	RXN-11386
EC:1.3.1.1	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN,RXN0-6565
EC:1.1.1.372	RXN-11382,GLYCEROL-DEHYDROGENASE-NADP+-RXN
EC:4.1.2.54	RXN-11381
EC:4.2.1.146	RXN-11380
EC:1.14.13.101	1.14.13.101-RXN
EC:1.1.1.312	1.2.1.45-RXN
EC:3.5.1.86	3.5.1.86-RXN
EC:2.3.1.175	2.3.1.175-RXN
EC:2.1.1.7	NICOTINATE-N-METHYLTRANSFERASE-RXN
EC:2.3.3.10	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
EC:1.4.1.3	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
EC:1.14.12.7	PHTHALATE-45-DIOXYGENASE-RXN
EC:1.1.1.64	1.1.1.64-RXN
EC:3.4.21.88	3.4.21.88-RXN
EC:1.3.8.9	RXN-16557,RXN-13451,RXN-16540
EC:1.2.1.84	RXN-16555,RXN-16553,RXN-16551,RXN-16550,RXN-16408,RXN-16405,RXN-16404,RXN-16403,RXN-16562,RXN-9344
EC:2.3.1.94	ERYTHRONOLIDE-SYNTHASE-RXN
EC:1.1.1.211	RXN-16559,1.1.1.211-RXN,RXN-14271,RXN-14393
EC:4.2.1.74	RXN-16558,RXN-12567,RXN-14272,RXN-14273,LONG-CHAIN-ENOYL-COA-HYDRATASE-RXN
EC:1.3.3.6	RXN-14775,RXN-14771,RXN-12518,RXN-16134,RXN-11026,RXN-14576,RXN-14789,RXN-14785,ACYL-COA-OXIDASE-RXN,RXN-12669,RXN-14796,RXN-10706,RXN-10707,RXN-10696
EC:3.6.3.26	3.6.3.26-RXN
EC:5.5.1.24	RXN-2561,RXN-14921,RXN-2543,RXN-14922
EC:2.1.1.95	RXN-2562,RXN-14919,RXN-14918,TOCOPHEROL-O-METHYLTRANSFERASE-RXN
EC:3.1.2.1	ACETYL-COA-HYDROLASE-RXN
EC:3.11.1.1	PHOSPHONOACETALDEHYDE-HYDROLASE-RXN
EC:4.2.1.119	RXN-14778,RXN-14794,RXN-14772,RXN-14801,RXN-14805,RXN-7699,RXN-14786,RXN-14797,RXN-14791
EC:4.2.2.3	4.2.2.3-RXN
EC:4.1.1.67	UDP-GALACTURONATE-DECARBOXYLASE-RXN
EC:1.11.1.8	RXN-10470,RXN-10471,RXN-10469,RXN-10468,IODIDE-PEROXIDASE-RXN
EC:3.4.15.1	3.4.15.1-RXN
EC:2.3.1.136	POLYSIALIC-ACID-O-ACETYLTRANSFERASE-RXN,RXN-15208
EC:4.2.1.2	FUMHYDR-RXN
EC:1.6.5.8	TRANS-RXN-214
EC:3.4.23.34	3.4.23.34-RXN
EC:3.7.1.7	BETA-DIKETONE-HYDROLASE-RXN
EC:6.1.1.11	SERINE--TRNA-LIGASE-RXN,RXN0-2161
EC:1.8.7.1	SULFITE-REDUCTASE-FERREDOXIN-RXN
EC:4.1.2.49	LTAA-RXN
EC:2.3.1.23	RXN-9670,RXN-15066,RXN-16158,RXN-16152,RXN-16042,RXN-16157,2.3.1.23-RXN,RXN-16045,RXN-16044,RXN-16041,RXN-16043,RXN-16151,RXN-16150,RXN-15036
EC:6.1.1.20	PHENYLALANINE--TRNA-LIGASE-RXN
EC:1.14.19.5	1.14.99.32-RXN,RXN-15112,1.14.19.5-RXN
EC:2.1.1.164	RXN-10847
EC:6.1.1.5	ISOLEUCINE--TRNA-LIGASE-RXN
EC:1.1.1.48	GALACTODEHYDROG-RXN
EC:1.1.1.124	FRUCTOSE-5-DEHYDROGENASE-NADP+-RXN
EC:2.3.1.166	2.3.1.166-RXN
EC:1.1.1.300	RXN-10841
EC:4.3.1.16	4.3.1.16-RXN
EC:2.4.1.13	SUCROSE-SYNTHASE-RXN,RXN-6222
EC:3.1.3.24	SUCROSE-PHOSPHATASE-RXN
EC:2.7.1.ab	RXN-16733,RXN-16732,RXN-16731,RXN-16730,RXN-16737,RXN-16736,RXN-16735,RXN-16734,RXN-16729
EC:1.14.19.1	1.14.19.1-RXN,RXN-10664
EC:2.7.4.13	RXN-7913,DTMPKI-RXN,RXN-14122,DEOXYADENYLATE-KINASE-RXN,DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN,GMKALT-RXN
EC:2.7.4.14	RXN-7913,RXN-11832,RXN-12002
EC:2.7.4.25	RXN-7913,RXN-11832
EC:2.4.1.186	RXN-7667,GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN
EC:2.4.1.11	RXN-7668
EC:2.4.1.18	RXN-7669,GLYCOGEN-BRANCH-RXN,RXN-7710,RXN-14371,RXN-14372
EC:3.1.2.6	RXN-7919,GLYOXII-RXN
EC:1.3.3.3	RXN0-1461
EC:3.1.1.65	L-RHAMNONO-14-LACTONASE-RXN
EC:3.4.21.35	3.4.21.35-RXN
EC:1.1.1.60	TSA-REDUCT-RXN
EC:1.1.1.163	CYCLOPENTANOL-DEHYDROGENASE-RXN
EC:3.6.3.17	ABC-2-RXN,ABC-28-RXN,3.6.3.17-RXN,ABC-33-RXN,ABC-18-RXN
EC:2.4.1.161	2.4.1.161-RXN
EC:1.3.3.8	TETRAHYDROBERBERINE-OXIDASE-RXN
EC:1.1.99.3	GLUCONATE-2-DEHYDROGENASE-RXN,RXN-14204
EC:2.4.1.87	2.4.1.124-RXN,2.4.1.151-RXN
EC:1.1.1.315	RXN-12551
EC:3.1.1.64	RXN-12550,RXN-14038
